	data_id	Video ID	Title	Channel ID	Author	Description	Length	Length (Seconds)	Published	Language	Audio Language	Views	Likes	Dislikes	Like Ratio	Comments	Source	Kids	Embeddable	Licensed Content	Dimension	Definition	Caption	Projection	License	Privacy Status	Content Rating	Region Restriction Count	Region Restriction	Livestream	Location Name	Location	Recording Date	Tag Count	Tags	Localization Count	Localizations
0		nRlRPTqnBrU	Uncovering Mini Worlds in My Redesigned Basement Zoo	UCGzXtNdhjPxvCNWFme1bG0g	SerpaDesign	"A LOT of work went into this one and I think it's perfectly demonstrates what's possible within this hobby. I finally began doing a serious remodel of the animal room that I've had planned for two years. Major changes happened in this one and I uncovered a lot of interesting stories with the animals.

Video sponsored by Fritz Aquatics (Products provided with a paid promotion)
https://fritzaquatics.com/

Materials and Supplies Affiliate Store (Earns Commission)
https://www.amazon.com/shop/serpadesign

Learn More in my Blog
https://www.serpadesign.com/blog

Follow SerpaDesign
Instagram - https://www.instagram.com/serpadesign/
TikTok - https://www.tiktok.com/@serpadesign
Second Channel - https://www.youtube.com/tannerserpa

#animalroom #aquarium #serpadesign"	19m 26s	1166	2024-09-22T12:00:06Z		en	143,057	10,475			279	Playlist: Uploads from SerpaDesign (added 2024-09-22)		true	true	2d	hd	false	rectangular	youtube	public								9	animal room, fish room, reptile room, aquarium, fish tank, paludarium, terrarium, riparium, zoo	0	
1		wFN9yVkRCoc	I Tried to Grow Lily Pads, An Ecosystem Emerged Instead (200 Day Experiment)	UCGzXtNdhjPxvCNWFme1bG0g	SerpaDesign	"Whenever I went to a pet store to get food for my animals, I kept seeing these dried lily bulbs. I assumed they could be legit, but I was skeptical if they’d grow into water lilies. That’s when I created this experiment and built an entire aquarium around them. I wanted to see if they’d work. As the tank developed, I realized it could also be a nice home for many of the animals I had from other setups, like the Glowlight Danios and Yellow Shrimp. It was fantastic to observe it unfold, and I’m excited to see how it continues to develop.

DIY IKEA Aquarium Tutorial
https://youtu.be/ir4kHioCSM0

Learn More in my Blog
https://www.serpadesign.com/blog

Follow SerpaDesign
Instagram - https://www.instagram.com/serpadesign/
TikTok - https://www.tiktok.com/@serpadesign
Second Channel - https://www.youtube.com/tannerserpa

#aquarium #ecosystem #serpadesign"	17m 13s	1033	2024-09-07T12:00:09Z		en	477,913	14,685			288	Playlist: Uploads from SerpaDesign (added 2024-09-07)		true	true	2d	hd	false	rectangular	youtube	public								9	aquarium, fish tank, aquascape, ecosystem, lily pad, water lily, aquagarden, aquarium lily, experiment	0	
2		RuMlpv77lVg	Creating Paradise for the World’s Most Hated Toad (Cane Toad Vivarium)	UCGzXtNdhjPxvCNWFme1bG0g	SerpaDesign	"Cane Toads (aka Marine Toads or Bufo Toads) are infamous for the issues they cause. However, in the right hands, they make good pets. Generally, toads tend to be more social, docile, and receptive to people than frogs, but it can take time. I’ve been raising Pistachio for two years while she grew in secret. I didn’t want to share her until building this.

I think it all came together quite well, and it’s exciting to see her in the animal room after all that time. Here, she will be a great ambassador for an often misunderstood animal. I wanted to do it right for her, and I think the new vertical concrete techniques were the perfect solution. 

Here's the African Bullfrog Paludarium that uses a lot of the same concrete techniques to create a large scale naturalistic setup. 
https://youtu.be/mkOoOqMc7zU

Learn More in my Blog
https://www.serpadesign.com/blog

Follow SerpaDesign
Instagram - https://www.instagram.com/serpadesign/
TikTok - https://www.tiktok.com/@serpadesign
Second Channel - https://www.youtube.com/tannerserpa

#toad #vivarium #serpadesign"	16m 37s	997	2024-08-24T12:00:05Z		en	412,226	21,316			723	Playlist: Uploads from SerpaDesign (added 2024-08-24)		true	true	2d	hd	false	rectangular	youtube	public								12	toad, cane toad, marine toad, bufo toad, vivarium, paludarium, ecosystem, terrarium, bioactive, naturalistic, DIY, do it yourself	0	
3		mkOoOqMc7zU	My Giant Frog Escaped, so I Made Him a Mansion (African Bullfrog Paludarium)	UCGzXtNdhjPxvCNWFme1bG0g	SerpaDesign	"Samson is back again, but in the way that I had planned. I built the enclosure for this six months ago, and I planned to complete it this fall. Sam had different plans, though. I guess that the clamps were no match for his brute strength, and he escaped!

It was disturbing the first time, but even more so this time. I thought I forgot to put them on at first until I saw how the lid was mangled. Needless to say, I didn't bother to film it because I was more concerned to get him back in the tank.

The next day, I got to work completing this new paludarium. I'm really pleased with how it turned out, and I love the new concrete technique. I'll definitely be using it again!

Learn More in my Blog
https://www.serpadesign.com/blog

Follow SerpaDesign
Instagram - https://www.instagram.com/serpadesign/
TikTok - https://www.tiktok.com/@serpadesign
Second Channel - https://www.youtube.com/tannerserpa

#bullfrog #ecosystem #serpadesign"	16m 26s	986	2024-08-10T12:00:03Z		en	1,224,875	38,182			1,077	Playlist: Uploads from SerpaDesign (added 2024-08-10)		true	true	2d	hd	false	rectangular	youtube	public								10	bullfrog, frog, giant frog, african bullfrog, pyxie frog, paludarium, vivarium, naturalistic, aquaterrarium, ecosytem	0	
4		IWo9m8_f-qw	The Secret Microcosm at My Giant Ecosystem Pond	UCGzXtNdhjPxvCNWFme1bG0g	SerpaDesign	"Observing invertebrates is always so enjoyable and there are A LOT at the Ecosystem Pond. It's astounding just how many you can find when you take a closer look. This video only scratches the surface, too. There were so many more that I saw which I didn’t get footage of. I have even more plans for them in the future that I’m excited to implement. 

Full Series 
https://www.youtube.com/playlist?list=PLGPT1t4Cqpfgzb1QBqQUHRY5Q7Vaj0jQa

Learn More in my Blog
https://www.serpadesign.com/blog

Follow SerpaDesign
Instagram - https://www.instagram.com/serpadesign/
TikTok - https://www.tiktok.com/@serpadesign
Second Channel - https://www.youtube.com/tannerserpa

#pond #ecosystem #serpadesign"	10m 23s	623	2024-07-28T12:00:04Z		en	129,115	11,099			401	Playlist: Uploads from SerpaDesign (added 2024-07-28)		true	true	2d	hd	true	rectangular	youtube	public								15	pond, ecosystem, water garden, diy, do it yourself, budget, diy pond, ecosystem pond, natural pond, waterfall, waterfalls, butterfly, pollinator, monarch, fountain	0	
5		Ogb1LmuLN8c	I Made Pondless Waterfalls from Milk Crates (DIY Pollinator Fountain)	UCGzXtNdhjPxvCNWFme1bG0g	SerpaDesign	"Since the pond's conception, I have known that I wanted significant arrangements for the pollinators. I thoroughly enjoy seeing flowers and plants, but it’s all made better when butterflies, bees, and other pollinating insects are present. Plus, they’re highly beneficial to have around.

I’ve done similar things, but not to this extent. The garden area is quite large, consisting primarily of native cultivars and native plants, many of which I pulled directly from elsewhere on the property. I knew I could stop there and even built a drinking rock fountain using easy DIY techniques.

Full Series 
https://www.youtube.com/playlist?list=PLGPT1t4Cqpfgzb1QBqQUHRY5Q7Vaj0jQa

Learn More in my Blog
https://www.serpadesign.com/blog

Follow SerpaDesign
Instagram - https://www.instagram.com/serpadesign/
TikTok - https://www.tiktok.com/@serpadesign
Second Channel - https://www.youtube.com/tannerserpa

#pond #ecosystem #serpadesign"	14m 32s	872	2024-07-20T12:00:05Z		en	161,851	12,271			364	Playlist: Uploads from SerpaDesign (added 2024-07-20)		true	true	2d	hd	true	rectangular	youtube	public								15	pond, ecosystem, water garden, diy, do it yourself, budget, diy pond, ecosystem pond, natural pond, waterfall, waterfalls, butterfly, pollinator, monarch, fountain	0	
6		eliFzxSSUhA	Unexpected Life Emerges at the Giant Ecosystem Pond	UCGzXtNdhjPxvCNWFme1bG0g	SerpaDesign	"I knew the ecosystem pond would have remarkable happenings, but I wasn’t ready for what would happen. I suppose things never happen as expected, anyway. For example, I didn’t expect to get this invested in the story of birds living over my pond, yet here we are. The treefrog sage was incredible, too.

All of this still doesn’t even come close to telling the whole story, though. The event occurred months ago, and much has happened since—that and more in the continuation of the series

Full Series 
https://www.youtube.com/playlist?list=PLGPT1t4Cqpfgzb1QBqQUHRY5Q7Vaj0jQa

Learn More in my Blog
https://www.serpadesign.com/blog

Follow SerpaDesign
Instagram - https://www.instagram.com/serpadesign/
TikTok - https://www.tiktok.com/@serpadesign
Second Channel - https://www.youtube.com/tannerserpa

#pond #ecosystem #serpadesign"	12m 22s	742	2024-07-13T12:00:02Z		en	167,554	12,632			343	Playlist: Uploads from SerpaDesign (added 2024-07-13)		true	true	2d	hd	true	rectangular	youtube	public								10	pond, ecosystem, water garden, ecosystem pond, natural pond, waterfall, waterfalls, birds, goldfish pond, eastern phoebe	0	
7		Ka60whtBHko	Hundreds of Frogs Invade the Giant Ecosystem Pond	UCGzXtNdhjPxvCNWFme1bG0g	SerpaDesign	"I knew that this pond would become an ecosystem and I knew it would be used by frogs. As the saying goes, ""Build it and they will come."" This saying could not be more true for our amphibian friends. Frogs are extremely sensitive, detecting minute changes in their environment through smell, which allows them to locate bodies of water from miles away. It’s truly remarkable. I knew that’s what would happen here because I’ve seen it happen many times before, but what I wasn’t expecting was for hundreds of frogs to invade. A pleasant surprise indeed. 

Also, just so we’re all on the same page, toads are a sub-classification of frogs. A toad is simply a frog with specific characteristics (similar to how a tortoise is differentiated from a turtle). Meaning that all toads are frogs, but not all frogs are toads. Anyway, I hope you all enjoy the continuation of the Ecosystem Pond series. Much more to come very soon!

Full Series 
https://www.youtube.com/playlist?list=PLGPT1t4Cqpfgzb1QBqQUHRY5Q7Vaj0jQa

Learn More in my Blog
https://www.serpadesign.com/blog

Follow SerpaDesign
Instagram - https://www.instagram.com/serpadesign/
TikTok - https://www.tiktok.com/@serpadesign
Second Channel - https://www.youtube.com/tannerserpa

#pond #ecosystem #serpadesign"	14m 10s	850	2024-07-06T12:00:06Z		en	422,696	18,303			642	Playlist: Uploads from SerpaDesign (added 2024-07-06)		true	true	2d	hd	true	rectangular	youtube	public								11	pond, ecosystem, water garden, diy, do it yourself, budget, diy pond, ecosystem pond, natural pond, waterfall, waterfalls	0	
8		f_nQFJ95B6g	The Aftermath of the Giant Ecosystem Pond	UCGzXtNdhjPxvCNWFme1bG0g	SerpaDesign	"Last summer, with the help of my friends at Aquascape (@EdThePondProfessor   @TEAMAquascape ), I installed a large ecosystem pond in my backyard. Endless rain caused a lot of mud, making it a challenge. Much of the project had to be completed weeks later, and I’m still working on much of that at the time of this upload.

This portion of the series documents what occurred from the original video until early April 2024. A LOT has happened since then that I’ll share in the episodes to follow.

Full Series 
https://www.youtube.com/playlist?list=PLGPT1t4Cqpfgzb1QBqQUHRY5Q7Vaj0jQa

Learn More in my Blog
https://www.serpadesign.com/blog

Follow SerpaDesign
Instagram - https://www.instagram.com/serpadesign/
TikTok - https://www.tiktok.com/@serpadesign
Second Channel - https://www.youtube.com/tannerserpa

#pond #ecosystem #serpadesign"	11m 39s	699	2024-06-29T12:00:24Z		en	485,417	21,697			587	Playlist: Uploads from SerpaDesign (added 2024-06-29)		true	true	2d	hd	true	rectangular	youtube	public								11	pond, ecosystem, water garden, diy, do it yourself, budget, diy pond, ecosystem pond, natural pond, waterfall, waterfalls	0	
9		1Lf9JVKwQ5M	Easy Tropical Frog Paradise (DIY Vivarium)	UCGzXtNdhjPxvCNWFme1bG0g	SerpaDesign	"A friend recently decided to start rehoming some of their animals, including this Tomato Frog. Tomatoes have never really been on my radar, but I’m surprised by how cool it is. I’ve kept many frogs and don’t know of any others quite like this. The best way I could describe it is a mix between an African Bullfrog and a Pac-Man Frog, yet it’s neither. Anyway, I’m excited to add this one to the animal room.

Learn More in my Blog
https://www.serpadesign.com/blog

Follow SerpaDesign
Instagram - https://www.instagram.com/serpadesign/
TikTok - https://www.tiktok.com/@serpadesign
Second Channel - https://www.youtube.com/tannerserpa

#frog #tomato #serpadesign"	9m 10s	550	2024-06-15T12:00:02Z		en	195,847	12,290			363	Playlist: Uploads from SerpaDesign (added 2024-06-15)		true	true	2d	hd	false	rectangular	youtube	public								10	frog, frogs, tomato frog, vivarium, terrarium, bioactive, ecosystem, diy, do it yourself, nature design	0	
